A = 00001000, B = 00000000, PC = 00000000, SP = 00000000
A = 00000000, B = 00000000, PC = 00000001, SP = 00001000
A = 00000000, B = 00000000, PC = 00000002, SP = 00000fff
A = 0000000a, B = 00000000, PC = 00000003, SP = 00000fff
A = 00000000, B = 00000000, PC = 00000004, SP = 00000fff
A = 00000041, B = 00000000, PC = 00000005, SP = 00000fff
A = 00000006, B = 00000041, PC = 00000007, SP = 00000fff
A = 00000006, B = 00000041, PC = 00000008, SP = 00000ffe
A = 00000041, B = 00000041, PC = 00000009, SP = 00000ffe
A = 00000041, B = 00000041, PC = 0000000a, SP = 00000ffe
A = 00000041, B = 00000041, PC = 0000000b, SP = 00000ffb
A = 00000000, B = 00000041, PC = 0000000c, SP = 00000ffb
A = 00000041, B = 00000041, PC = 0000000d, SP = 00000ffb
A = 00000001, B = 00000041, PC = 0000000e, SP = 00000ffb
A = 00000041, B = 00000041, PC = 0000000f, SP = 00000ffb
A = 00000000, B = 00000041, PC = 00000010, SP = 00000ffb
A = 00000041, B = 00000041, PC = 00000011, SP = 00000ffb
A = 0000000a, B = 00000041, PC = 00000012, SP = 00000ffb
A = 00000000, B = 0000000a, PC = 00000013, SP = 00000ffb
A = 0000000a, B = 0000000a, PC = 00000014, SP = 00000ffb
A = 00000001, B = 0000000a, PC = 00000015, SP = 00000ffb
A = 00000009, B = 0000000a, PC = 00000016, SP = 00000ffb
A = 00000009, B = 0000000a, PC = 00000017, SP = 00000ffb
A = 00000001, B = 00000009, PC = 00000018, SP = 00000ffb
A = 00000009, B = 00000009, PC = 00000019, SP = 00000ffb
A = 0000000a, B = 00000009, PC = 0000001a, SP = 00000ffb
A = 00000000, B = 0000000a, PC = 0000001b, SP = 00000ffb
A = 0000000a, B = 0000000a, PC = 0000001c, SP = 00000ffb
A = 00000001, B = 0000000a, PC = 0000001d, SP = 00000ffb
A = 00000009, B = 0000000a, PC = 0000001e, SP = 00000ffb
A = 00000009, B = 0000000a, PC = 0000001f, SP = 00000ffb
A = 00000041, B = 00000009, PC = 00000020, SP = 00000ffb
A = 00000002, B = 00000009, PC = 00000021, SP = 00000ffb
A = 00000000, B = 00000002, PC = 00000022, SP = 00000ffb
A = 0000000b, B = 00000002, PC = 00000023, SP = 00000ffb
A = fffffff7, B = 00000002, PC = 00000024, SP = 00000ffb
